연번,검진기관명,도로명주소,연락처,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,데이터기준일
206,가톨릭관동대학교 국제성모병원,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,032-1600-8291,지정(지정),지정,지정,지정,지정,지정,지정,지정(지정),,2024-08-06
207,청라미소소아청소년과의원,인천광역시 서구 청라커낼로288번길 10 더스페이스타워 505호 (청라동),032-563-7227,,,,,,,,,지정,2024-08-06
208,청라연세어린이병원,"인천광역시 서구 중봉대로612번길 10-16 3,4,5층 (연희동,마르씨엘)",032-590-1500,,,,,,,,,지정,2024-08-06
209,청라연세어린이병원,"인천광역시 서구 중봉대로612번길 10-16 (청라동, 마르씨엘)",032-590-1500,,,,,,,,,지정,2024-08-06
210,데일리치과의원,인천광역시 서구 서곶로 788 홀리랜드 204~206호 (당하동),032-561-9928,,,,,,,,지정,,2024-08-06
211,뉴욕리더스치과의원,인천광역시 서구 가정로 372 2층 1호 (가정동),032-573-2825,,,,,,,,지정,,2024-08-06
212,연세별치과의원,"인천광역시 서구 청라커낼로260번길 27 청라한신더휴커낼웨이 247호,249호 (청라동)",032-268-2875,,,,,,,,지정,,2024-08-06
213,선소아청소년과의원,"인천광역시 서구 승학로 497 401호 (검암동, 검암프라자)",032-568-8277,,,,,,,,,지정,2024-08-06
214,아이(i)제일소아청소년과의원,"인천광역시 서구 봉오재3로 42 201호 (가정동, 다온프라자)",032-564-9110,,,,,,,,,지정,2024-08-06
215,연세예쁜미소치과의원,인천광역시 서구 청라커낼로260번길 11 진성프라자 405호 (청라동),032-710-2879,,,,,,,,지정,,2024-08-06
216,정 의원,인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩),032-933-8765,,,,,,,,,지정,2024-08-06
217,스마일365치과의원,"인천광역시 서구 검단로 485 2,3층 (마전동)",032-285-2828,,,,,,,,지정,,2024-08-06
218,청라좋은병원,"인천광역시 서구 청라에메랄드로 79-0 2층 (청라동,청라커낼에비뉴2~4층)",032-271-0119,지정,지정,지정,지정,지정,지정,,,지정,2024-08-06
219,검단서울여성의원,인천광역시 서구 청마로19번길 20 (당하동),032-566-1993,,,지정,,,지정,,,,2024-08-06
220,행복백세내과의원,"인천광역시 서구 서곶로 281 자혜정형외과 2층일부,4층 (심곡동)",032-562-7755,지정,,,,지정,,,,,2024-08-06
221,서울더탑치과의원,인천광역시 서구 원당대로 663 한종프라자 3층 (마전동),032-267-2828,,,,,,,,지정,,2024-08-06
222,서울이자라는치과의원,"인천광역시 서구 새오개로111번안길 21 대성프라자 201, 202호 (신현동)",032-213-2875,,,,,,,,지정,,2024-08-06
223,연세튼튼치과의원,인천광역시 서구 청마로19번길 20 203호 (당하동),032-721-5662,,,,,,,,지정,,2024-08-06
224,더나아산부인과의원,인천광역시 서구 검단로 480 검단리치웰프라자 5층 (왕길동),032-567-5732,,,지정,,,지정,,,,2024-08-06
225,연세장튼튼의원,인천광역시 서구 이음5로 60 JS프라자 (원당동),032-565-0815,지정,지정,지정,지정,지정,지정,,,,2024-08-06
226,연세기린소아청소년과의원,인천광역시 서구 이음5로 60 JS프라자 3층 308~311호 (원당동) ,032-719-4620,,,,,,,,,지정,2024-08-06
227,연세연희치과의원,인천광역시 서구 승학로 320 (연희동),032-528-2825,,,,,,,,지정,,2024-08-06
228,서울가족치과의원,"인천광역시 서구 가정로 369 서경 플러스 존 303,305호 (신현동)",032-573-2875,,,,,,,,지정,,2024-08-06
229,검단퍼스트치과의원,인천광역시 서구 이음5로 80 3층 (원당동),032-563-2872,,,,,,,,지정,,2024-08-06
230,청라사랑내과의원,"인천광역시 서구 청라커낼로260번길 11 진성프라자 303, 304, 310, 311, 312호 (청라동)",032-561-5584,지정,지정,,,지정,,,,,2024-08-06
231,삼성퍼스트소아청소년과의원,인천광역시 서구 이음5로 80 검단퍼스트 603호 (원당동),032-563-3715,,,,,,,,,지정,2024-08-06
232,연세앤치과의원,인천광역시 서구 이음5로 60 JS프라자 506~507호 (원당동),032-561-7522,,,,,,,,지정,,2024-08-06
233,우리베스트내과의원,인천광역시 서구 염곡로464번길 15 4층 (가정동),032-715-6308,지정,지정,지정,지정,지정,지정,,,,2024-08-06
234,검암우리치과의원,인천광역시 서구 승학로 491 (검암동),032-566-0017,,,,,,,,지정,,2024-08-06
235,청라바른내과의원,"인천광역시 서구 청라한내로161번길 3-5 2, 3, 4층 (청라동)",032-562-8575,지정,지정,지정,지정,지정,지정,,,,2024-08-06
236,삼성센트럴의원,"인천광역시 서구 원당대로 1045 금호헤리티지7 5~6층 501~513, 608~613호 (원당동)",032-716-9930,,,,,,,,,,2024-08-06
237,태헬스케어의원,"인천광역시 서구 원당대로 1045 금호헤리티지7 5~6층 501~513, 608~613호 (원당동) ",032-716-9930,지정,지정,지정,지정,지정,지정,,,,2024-08-06
238,조성원내과의원,인천광역시 서구 청마로 163 (당하동),032-565-0771,지정,지정,지정,지정,지정,지정,,,,2024-08-06
239,플란치과의원,"인천광역시 서구 원당대로 1045 금호헤리티지7 301~304,601~607호 (원당동) ",032-564-7528,,,,,,,,지정,,2024-08-06
240,연세꿈꾸는아이치과의원,인천광역시 서구 이음대로 378 로뎀타워 701~704호 (원당동),032-565-2828,,,,,,,,지정,,2024-08-06
241,서울바로치과의원,인천광역시 서구 이음대로 378 로뎀타워 304~306호 (원당동),032-568-7573,,,,,,,,지정,,2024-08-06
242,꿈꾸는소아청소년과의원,"인천광역시 서구 이음대로 378 로뎀타워 507, 508호 (원당동)",032-564-1675,,,,,,,,,지정,2024-08-06
243,청라행복내과의원,"인천광역시 서구 중봉대로 588 506,507호 (연희동, 청라센트럴프라자)",032-569-8000,지정,지정,지정,지정,지정,지정,,,,2024-08-06
244,리더S탑치과의원,"인천광역시 서구 가정로 437 301동 310~311호 (가정동, 루원시티 SK Leaders' VIEW)",032-257-2828,,,,,,,,지정,,2024-08-06
245,위바른내과의원,"인천광역시 서구 이음대로 378 로뎀타워 501~506, 511호 (원당동)",032-561-5570,지정,지정,지정,지정,지정,지정,,,,2024-08-06
246,루원성모내과의원,"인천광역시 서구 가정로 437 301동 B114~115호 (가정동, 루원시티 SK Leaders' VIEW)",032-575-8276,지정,지정,,지정,지정,,,,,2024-08-06
247,바라던치과의원,"인천광역시 서구 청라한내로100번길 24 쓰리엠파크2 3층 306,307호 (청라동)",032-561-2828,,,,,,,,지정,,2024-08-06
248,문내과의원,"인천광역시 서구 청라한내로72번길 23 301,302호 (청라동)",032-561-7515,지정,지정,지정,지정,지정,지정,,,,2024-08-06
249,루원하다소아치과의원,인천광역시 서구 염곡로464번길 15 304~306호 (가정동),032-567-2272,,,,,,,,지정,,2024-08-06
250,검암연세내과의원,인천광역시 서구 승학로483번길 18-8 (검암동),032-572-5126,지정,지정,,지정,지정,,,,,2024-08-06
251,청라나눔내과의원,인천광역시 서구 청라한내로 90 MK뷰 505~9호 (청라동),032-567-0750,지정,지정,지정,지정,지정,지정,,,,2024-08-06
252,연세세브란스치과의원,인천광역시 서구 서곶로 866 강서빌딩 3층 (마전동),032-298-2828,,,,,,,,지정,,2024-08-06
253,삼성플러스유외과의원,인천광역시 서구 이음대로 388 ABM타워 6층 603~607호 (원당동),032-265-6075,,,지정,,,,,,,2024-08-06
254,서인천성모의원,"인천광역시 서구 탁옥로 49 4층 (심곡동, 제스트프라자) ",032-566-8275,지정,지정,지정,지정,지정,지정,,,지정,2024-08-06
255,이앤백치과의원,인천광역시 서구 이음대로 392 메트로시티 4층 407~409호 (원당동),032-562-7528,,,,,,,,지정,,2024-08-06
256,튼튼나무소아청소년과의원,"인천광역시 서구 이음1로 383 세중시그니쳐 6~7층 607~611,701~711호 (원당동)",032-719-7559,,,,,,,,,지정,2024-08-06
257,아산큰내과의원,인천광역시 서구 검단로 469 4~5층 (왕길동),032-563-2770,지정,지정,지정,지정,지정,지정,,,,2024-08-06
258,늘치과의원,"인천광역시 서구 비즈니스로 166 708동 2층 8호 (청라동, 청라국제 업무단지 센텀 대광로제비앙)",032-566-2030,,,,,,,,지정,,2024-08-06
259,퍼스널치과의원,인천광역시 서구 청라한내로 90 MK뷰  403~4호 (청라동),032-265-2828,,,,,,,,지정,,2024-08-06
260,검단가온치과의원,인천광역시 서구 완정로178번길 1 검단빌딩 201~202호 (마전동) ,032-266-2879,,,,,,,,지정,,2024-08-06
261,이김치과의원,인천광역시 서구 서곶로 293 (심곡동),032-561-1021,,,,,,,,지정(지정),,2024-08-06
262,피어나치과교정과치과의원,인천광역시 서구 이음5로 62 정인프라자 4층 401~406호 (원당동),032-568-0502,,,,,,,,지정,,2024-08-06
263,치과로와치과의원,인천광역시 서구 발산로 6 아인시티 주차타워 306~310호 (원당동),032-562-5475,,,,,,,,지정,,2024-08-06
264,검단이화연합의원,인천광역시 서구 이음5로 80 검단퍼스트 5층 (원당동),032-277-0705,지정,,,,,,,,,2024-08-06
265,연세검단치과의원,인천광역시 서구 이음대로 388 ABM타워 503~509호 (원당동) ,032-225-7528,,,,,,,,지정,,2024-08-06
266,인천맥치과의원,인천광역시 서구 봉오대로 255 305.306.307.308호 (가정동) ,032-565-7928,,,,,,,,지정,,2024-08-06
267,검단이엠365의원,"인천광역시 서구 이음5로 30 연세프라자9 2,3층 206~214, 305~314호 (원당동) ",032-568-5011,지정,,,,,,,,지정,2024-08-06
268,검단센트럴치과의원,인천광역시 서구 이음대로 479 CS메디칼프라자 2층 201호 (당하동) ,032-569-2275,,,,,,,,지정,,2024-08-06
269,든든내과의원,"인천광역시 서구 이음대로 479 CS메디칼프라자 301, 302호 (당하동) ",032-564-0102,지정,지정,지정,지정,지정,지정,,,,2024-08-06
270,검단위키즈 병원,"인천광역시 서구 원당대로 1039 태경타워 3,4층 전체호 (원당동) ",032-713-3300,,,,,,,,,지정,2024-08-06
271,아인내과의원,인천광역시 서구 발산로 6 아인시티 주차타워 401 ~ 406호 (원당동) ,032-565-1806,지정,지정,지정,지정,지정,지정,,,,2024-08-06
272,아라서울여성의원,인천광역시 서구 원당대로 1045 금호헤리티지7 4층 401~403호 (원당동) ,032-721-7633,,,,,,지정,,,,2024-08-06
273,홍앤장내과의원,"인천광역시 서구 가정로 406 301~303호 (가정동, 루원지웰시티푸르지오) ",032-566-5353,지정,지정,지정,지정,지정,지정,,,,2024-08-06
274,청라365클리어 치과의원,인천광역시 서구 청라에메랄드로 94 인천 청라빌딩 2층 204호 (청라동) ,032-564-2822,,,,,,,,지정,,2024-08-06
275,검단다온치과의원,인천광역시 서구 완정로 54 두영빌딩 2층 202호 (마전동) ,032-569-2875,,,,,,,,지정,,2024-08-06
276,루원탑내과의원,인천광역시 서구 봉오대로 255 루원눈담봄 2층 207~210호 (가정동) ,032-561-7535,지정,지정,지정,지정,지정,지정,,,,2024-08-06
277,연세조내과의원,"인천광역시 서구 검단로768번1길 4 2,3층 (불로동, 세인빌딩)",032-563-6894,지정,지정,지정,지정,지정,지정,,,,2024-08-06
278,검단조은아이365병원,"인천광역시 서구 발산로5번길 12 인천검단 엔젤리움1차 윈팰리스 6,7층 (원당동) ",032-721-8288,,,,,,,,,지정,2024-08-06
279,더바른성모내과의원(The바른성모내과의원),인천광역시 서구 이음3로 149 위너스 프라자 5층 (당하동) ,032-568-8275,지정,지정,지정,지정,지정,지정,,,,2024-08-06
280,검단뉴욕치과의원,인천광역시 서구 원당대로 1045 금호헤리티지7 4층 404~407호 (원당동) ,032-567-8528,,,,,,,,지정,,2024-08-06
281,이음소아청소년과의원,인천광역시 서구 이음대로 479 CS메디칼프라자 3층 303호 (당하동) ,,,,,,,,,,지정,2024-08-06
282,파랑새플란트 치과의원,인천광역시 서구 중봉대로 594 청라비전프라자 501~503호 (청라동) ,032-715-5672,,,,,,,,지정,,2024-08-06
283,루원퍼스트치과의원,"인천광역시 서구 서곶로 50 2층 A207~A212호 (가정동, 루원시티 대성베르힐 더 센트로) ",,,,,,,,,지정,,2024-08-06
284,바른공감치과의원,"인천광역시 서구 서로3로 104 신화프라자 3층 303,304호 (당하동) ",032-279-2879,,,,,,,,지정,,2024-08-06
285,위드치과의원,"인천광역시 서구 청마로 171 301호 (당하동, 청석빌딩) ",032-564-2870,,,,,,,,지정,,2024-08-06
286,검단스마트내과의원,인천광역시 서구 서로3로 104 신화프라자 4층 401~403호 (당하동) ,032-566-1199,지정,지정,지정,지정,지정,지정,,,,2024-08-06
287,청라아이비치과의원,인천광역시 서구 청라한내로 110 204호 (청라동) ,032-285-2875,,,,,,,,지정,,2024-08-06
288,서울샤인치과의원,인천광역시 서구 솔빛로 24 301호 (경서동),032-563-2842,,,,,,,,지정,,2024-08-06
289,루원튼튼365소아청소년과의원,"인천광역시 서구 가정로 406 225, 226, 227, 228-1호 (가정동, 루원지웰시티푸르지오) ",032-710-7524,,,,,,,,,지정,2024-08-06
290,루원미소치과교정과 치과의원,"인천광역시 서구 가정로 406 308, 309호 (가정동, 루원지웰시티푸르지오) ",032-576-2879,,,,,,,,지정,,2024-08-06
291,청라좋은병원,"인천광역시 서구 청라에메랄드로 79 1층 일부층, 2층~4층 (청라동) ",032-271-0119,지정,지정,,지정,지정,,,,지정,2024-08-06
292,연세조내과의원,"인천광역시 서구 검단로768번1길 4 2,3층 (불로동, 세인빌딩) ",032-563-6894,지정,지정,지정,지정,지정,지정,,,,2024-08-06
293,나아라치과의원,인천광역시 서구 이음5로 36 더원타워 주건축물제1동 5층 501~503호 (원당동) ,032-287-2828,,,,,,,,지정,,2024-08-06
294,대한결핵협회 인천광역시지부 복십자의원,"인천광역시 서구 원당대로 856 마크포레스트 어반 2층 201, 202 일부호 (당하동) ",032-868-8921,지정,,,,,,,,,2024-08-06
295,예온치과병원,인천광역시 서구 이음4로 6 KR법조타워 5층 전체호 (당하동) ,1551-2870,,,,,,,,지정(지정),,2024-08-06
296,검단성모산부인과의원,"인천광역시 서구 이음대로 378 로뎀타워 4층 408,409호 (원당동) ",032-561-2070,,,,,,지정,,,,2024-08-06
297,검단항외과의원,인천광역시 서구 이음5로 36 4층 401~404호 (원당동) ,032-565-7500,지정,지정,,지정,,,,,,2024-08-06
298,서울정형외과의원,"인천광역시 서구 염곡로 468 드림타워 601호,7층,8층 (가정동)",032-561-1140,지정(지정),지정,지정,지정,지정,지정,,지정(지정),,2024-08-06
299,검단다정의원,인천광역시 서구 서로3로 198 2층 214~216호 (원당동) ,032-710-5717,,,,,,,,,지정,2024-08-06
300,검단아라산부인과의원,인천광역시 서구 이음대로 392 메트로시티 5층 512~515호 (원당동) ,032-569-7575,,,지정,,,지정,,,,2024-08-06
301,이보다구강악안면외과치과의원,인천광역시 서구 바리미로 17 로데오스퀘어 4층 (원당동) ,032-562-1175,,,,,,,,지정,,2024-08-06
302,인천힐링스병원,인천 서구 석남1동 509-2번지,032-577-2000,,,,,,,,,지정,2024-08-06
303,연세검암소아과의원,인천 서구 검암동 513-9 번지 1층,032-561-9454,,,,,,,,,지정,2024-08-06
