연번,시설명,시설종류,시설유형,소재지,위도,경도,입소정원,시설운영,설치일자,전화번호,데이터기준일자
163,백세 주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서달로 20,37.5000383000,126.6783337000,41,개인,2021-07-01,032-579-3310,2024-08-01
164,에스더손길나눔 재가센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고산후로78번길 42-1,37.5899308406,126.7031036957,,개인,2021-08-01,032-566-6377,2024-08-01
165,아름다운주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 230,37.5052259220,126.6725013098,15,개인,2021-08-01,032-577-6000,2024-08-01
166,영은효재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 105,37.5438641580,126.6814917253,0,개인,2021-09-01,032-566-0688,2024-08-01
167,다온재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 136,37.4968578258,126.6718378644,,개인,2021-11-01,032-573-7995,2024-08-01
168,검단진노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 마전로115번길 2-6,37.6085443705,126.6684097886,24,개인,2022-01-01,032-563-5200,2024-08-01
169,제일노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 55,37.5441284385,126.6758367722,0,개인,2022-01-01,032-574-2789,2024-08-01
170,케어링마음센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 대평로8번길 2,37.5474120340,126.6763323424,0,법인,2022-02-01,032-567-4198,2024-08-01
171,해량재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 515,37.5657944842,126.6767326296,0,개인,2022-02-01,032-568-3323,2024-08-01
172,마음모아노인재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원적로95번길 15,37.4959216692,126.6809101996,,개인,2022-04-01,032-584-8216,2024-08-01
173,미소인방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서달로 14-7,37.4999976586,126.6788315940,,개인,2022-04-01,032-575-5007,2024-08-01
174,한가람노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로 198,37.6032525200,126.6545762000,31,개인,2022-05-26,032-565-7706,2024-08-01
175,서구재활주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 104,37.5434517036,126.6810323743,50,개인,2022-07-01,032-563-9988,2024-08-01
176,메디홈케어재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청라에메랄드로 78,37.5321224553,126.6568223402,,개인,2022-07-28,032-569-4900,2024-08-01
177,드림재가방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원적로47번길 6,37.4917529700,126.6799676000,,개인,2022-09-01,032-573-9885,2024-08-01
178,탑재가방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 314,37.5498009303,126.6745289235,,개인,2022-09-01,032-000-0000,2024-08-01
179,어르신의하루 데이케어센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로 748,37.6124344200,126.6837759000,32,개인,2022-09-28,032-568-1995,2024-08-01
180,봄연세데이케어 나은센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로399번길 3,37.4960497800,126.6857461000,46,개인,2022-10-07,032-574-3179,2024-08-01
181,방문재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로 516,37.6032027800,126.6613523000,0,개인,2022-10-07,032-564-3600,2024-08-01
182,가영노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로10번길 23,37.5964677356,126.6738643341,0,개인,2022-10-07,032-567-4533,2024-08-01
183,푸른재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로34번길 47,37.5986646709,126.6747014278,0,개인,2022-12-10,032-567-5279,2024-08-01
184,황금들녘재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로294번길 8-1,37.5109332400,126.6735157000,0,개인,2023-02-01,032-572-2298,2024-08-01
185,검단바로재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로8번길 25,37.5956011790,126.6742606973,0,개인,2023-02-08,032-563-6327,2024-08-01
186,행복드림재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 새오개로54번길 15-1,37.5151550854,126.6670282167,0,개인,2023-02-10,032-265-1005,2024-08-01
187,효나눔방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로228번길 12-13,37.6047295114,126.6532561843,0,개인,2023-03-13,032-567-2840,2024-08-01
188,삼성노인주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 신진말로 37-1,37.4933550700,126.6799434000,27,개인,2023-03-13,032-577-5940,2024-08-01
189,검단사랑의집 주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로 783,37.6149960900,126.6862335000,24,개인,2023-04-10,032-568-1312,2024-08-01
190,행복한동행방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 봉화로 18,37.5956590600,126.6392640000,0,개인,2023-04-10,032-561-5863,2024-08-01
191,청라효주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 중봉대로 588,37.5320476911,126.6502562980,38,개인,2023-04-12,032-563-7709,2024-08-01
192,아름드리주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 246,37.5445095848,126.6728728018,31,개인,2023-05-01,032-710-7077,2024-08-01
193,서연방문재활간호 재가요양센터(인천점),재가노인복지시설,재가노인복지시설,인천광역시 서구 이음대로 384,37.5935305468,126.7126473690,0,개인,2023-05-02,032-566-2159,2024-08-01
194,최선노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 길주로 116,37.5060915000,126.6747481000,0,개인,2023-05-08,032-577-4608,2024-08-01
195,굿케어방문요양서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 길주로136번길 19-1,37.5042975652,126.6770960297,0,개인,2023-06-09,032-581-3331,2024-08-01
196,은빛노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 율도로111번길 13,37.5144708197,126.6745545998,0,법인,2023-07-06,032-572-4787,2024-08-01
197,서부어르신주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 염곡로 472,37.5268288800,126.6697338000,41,개인,2023-06-09,032-565-0035,2024-08-01
198,쉼터재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서곶로255번길 14-15,37.5414680992,126.6749631044,0,개인,2023-07-07,032-569-6663,2024-08-01
199,아름다운노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 230,37.5052259220,126.6725013098,0,개인,2023-08-02,032-577-6000,2024-08-01
200,봄날재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 198,37.5408517003,126.6731903308,0,개인,2023-08-07,032-461-6803,2024-08-01
201,예원노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로152번길 26-1,37.4982127963,126.6747201629,0,개인,2023-08-09,032-573-6788,2024-08-01
202,에덴재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로64번길 4,37.5974478107,126.6683608410,0,개인,2023-09-08,070-8657-0829,2024-08-01
203,‘(A)비지팅엔젤스 인천서구방문요양지점,재가노인복지시설,재가노인복지시설,인천광역시 서구 서곶로332번길 2,37.5471860202,126.6773037832,0,개인,2023-10-01,032-716-9553,2024-08-01
204,두드림복지용구,재가노인복지시설,재가노인복지시설,인천광역시 서구 봉오재3로 116,37.5271215043,126.6726404686,0,개인,2023-10-01,032-563-3388,2024-08-01
205,가정재가장기요양기관,재가노인복지시설,재가노인복지시설,인천광역시 서구 원창로239번길 29-2,37.5202631648,126.6758645956,0,개인,2023-10-05,032-226-0015,2024-08-01
206,더홈주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로178번길 56-1,37.6065371700,126.6601664000,35,개인,2023-11-09,032-565-3317,2024-08-01
207,상생마을재가복지센터 꿈터,재가노인복지시설,재가노인복지시설,인천광역시 서구 율도로16번길 18,37.5124211015,126.6627928294,0,법인,2023-12-01,032-571-4466,2024-08-01
208,가온방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 403,37.5577515142,126.6728776206,0,개인,2023-12-01,032-566-6645,2024-08-01
209,참살이재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서곶로 359-1,37.5498482415,126.6767296526,0,개인,2023-12-01,032-564-7001,2024-08-01
210,서구재활방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로73번길 1,37.5439928491,126.6775517794,0,개인,2023-12-06,032-563-9986,2024-08-01
211,다온케어복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 신석로77번길 29,37.5125705720,126.6705755642,0,개인,2023-12-07,032-582-9117,2024-08-01
212,벧엘 재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 186-3,37.5013998851,126.6722656019,0,개인,2023-12-28,032-583-9541,2024-08-01
213,미소노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로 853,37.5940091100,126.6964593000,0,개인,2024-01-03,032-561-1029,2024-08-01
214,가온누리재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 심곡로24번길 7,37.5416072822,126.6721201230,0,개인,2024-01-08,032-466-4198,2024-08-01
215,김간호사 재활 주간보호,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로45번길 16,37.5965094114,126.6678407277,37,개인,2024-01-10,032-724-9887,2024-08-01
216,서구루원재활 노인주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 염곡로464번길 11,37.5264176828,126.6705158139,32,개인,2024-01-10,032-564-0110,2024-08-01
217,대현케어재가센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원창로 196,37.5174849351,126.6711392217,0,개인,2024-02-01,032-576-7527,2024-08-01
218,루원LU1올케어재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 염곡로464번길 30,37.5219556542,126.6765081795,0,개인,2024-02-01,032-432-1191,2024-08-01
219,사랑으로 재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 302,37.5117209264,126.6728114615,0,개인,2024-02-20,032-715-5200,2024-08-01
220,보람재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 여우재로 90,37.4862537587,126.6879417810,0,개인,2024-02-28,032-581-2210,2024-08-01
221,삼성노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원적로47번길 27-2,37.4913224459,126.6771438659,0,개인,2024-03-01,032-573-3522,2024-08-01
222,파랑새재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 길주로76번길 25,37.5041537616,126.6703423651,0,개인,2024-03-01,070-4124-3630,2024-08-01
223,(주)케어링 방문요양센터 인천점,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 93,37.5440204453,126.6800787650,0,법인,2024-04-01,032-567-4198,2024-08-01
224,돌핀투원복지용구,재가노인복지시설,재가노인복지시설,인천광역시 서구 심곡로 53,37.5423057864,126.6756626006,0,개인,2024-04-01,,2024-08-01
225,시온휴재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 심곡로 53,37.5423057864,126.6756626006,0,개인,2024-04-01,032-564-2211,2024-08-01
226,검단보람주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청마로7번길 15,37.5932132973,126.6722451937,0,개인,2024-04-01,032-569-4666,2024-08-01
227,도토리재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로348번길 27,37.4952907462,126.6806950879,0,개인,2024-04-01,032-552-2349,2024-08-01
228,햇살재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로190번길 19-3,37.5017111300,126.6741693000,0,개인,2024-04-05,032-272-2580,2024-08-01
229,효산재활주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로 183,37.4994181730,126.6623941957,61,개인,2024-04-09,032-573-9538,2024-08-01
230,(주)다빈 재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 127,37.4960239700,126.6714239000,0,법인,2024-05-10,032-572-5532,2024-08-01
231,돌봄방문재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로216번길 1,37.5418264981,126.6726410213,0,개인,2024-06-01,032-543-1010,2024-08-01
232,늘사랑 주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 88,37.5435035260,126.6792418176,31,개인,2024-06-04,,2024-08-01
233,해든복지용구,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로 843,37.5940930804,126.6953725879,0,개인,2024-07-01,,2024-08-01
234,소리재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로685번길 5,37.5943625270,126.6771888358,0,개인,2024-07-04,,2024-08-01
235,코리아 의료기 복지용구,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로249번길 32-4,37.5020342142,126.6702021763,0,개인,2024-07-04,070-4647-4784,2024-08-01
236,최우수노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 451,37.5219556542,126.6765081795,0,개인,2024-07-08,032-561-5047,2024-08-01
237,다은 주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로835번길 7,37.5946995832,126.6943550915,46,개인,2024-07-09,032-566-7519,2024-08-01
238,일등재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로178번길 44,37.6054149851,126.6599145054,0,개인,2024-07-10,032-564-6334,2024-08-01
